fold,metodo,mae,mse,tempo_segundos
0,média,58.398610354792986,6107.717645700851,0.0010709762573242188
0,knn,60.82946264150944,6158.925759094943,0.06240200996398926
0,mice,51.791293592455965,4717.235575541509,1.067112922668457
0,tabpfn,46.74748050925776,4319.060463172995,1.1664516925811768
0,missforest,54.4187120754717,5272.533100012716,69.413565158844
1,média,68.23389136889443,7997.736030044762,0.00044345855712890625
1,knn,68.32567811320754,7439.583851888718,0.0664520263671875
1,mice,57.9620170673286,6122.928662911762,1.029850721359253
1,tabpfn,52.26393800152472,5561.981636698101,1.1266343593597412
1,missforest,56.796165283018865,5979.786749029887,69.87566351890564
2,média,65.90196930458674,7218.367482172589,0.00043892860412597656
2,knn,62.68391962264152,6186.754857506,0.11851835250854492
2,mice,61.26469982154468,6531.506579936968,1.0615429878234863
2,tabpfn,51.95143042729216,5182.013972128537,1.0877344608306885
2,missforest,62.23422716981133,6792.094864780906,69.24591016769409
3,média,65.91495160848463,6886.193850099405,0.0004458427429199219
3,knn,67.84185283018869,6554.119930952906,0.1297600269317627
3,mice,54.32626616111654,4874.69378317384,1.0415971279144287
3,tabpfn,48.834956764307556,4129.69762797876,1.1354312896728516
3,missforest,56.7086641509434,5458.960955725963,69.15997672080994
4,média,62.677510906658,6961.679115471727,0.0004374980926513672
4,knn,64.19817132075471,6890.870964758792,0.1352696418762207
4,mice,55.78523265276909,5705.632783692237,2.617410898208618
4,tabpfn,49.44021982116699,4657.808108964502,1.0899109840393066
4,missforest,55.50087433962264,5694.012765785321,69.59797859191895
5,média,69.46255211838574,8655.441124085555,0.00048613548278808594
5,knn,70.95289471698113,7998.297590963812,0.06053757667541504
5,mice,65.67114604370461,9819.718309178528,2.385402202606201
5,tabpfn,56.174089963373156,6284.61975558385,1.1550254821777344
5,missforest,62.97984754716981,7400.7125280113205,69.55356669425964
6,média,63.236080846245805,6334.5890560946555,0.00043964385986328125
6,knn,67.9900158490566,6921.694295324227,0.055165767669677734
6,mice,61.472905377372136,6507.976327458796,5.414957284927368
6,tabpfn,50.19778393511502,4237.655371117754,1.1525928974151611
6,missforest,60.499936603773584,6123.943141865283,70.22548294067383
7,média,69.78153850465958,9782.200945097657,0.00044155120849609375
7,knn,72.59752566037736,9382.832212590301,0.06122612953186035
7,mice,64.89423617173034,8973.63123433093,1.0603387355804443
7,tabpfn,58.463684381506575,7923.683599961665,1.1389622688293457
7,missforest,64.51225622641509,9004.566191161546,69.9268217086792
8,média,57.12846656370755,5310.745620215732,0.0004372596740722656
8,knn,61.40825984848485,5459.040565665,0.0645601749420166
8,mice,53.303284987709866,4807.99918240622,1.0554699897766113
8,tabpfn,47.034800603519784,3919.289424518494,1.1398143768310547
8,missforest,55.69790909090909,4883.0623459775,68.7795569896698
9,média,62.7665571995119,5832.138314445644,0.00042438507080078125
9,knn,63.33345037878787,5972.292842625037,0.05530738830566406
9,mice,57.28423708675395,4993.485177663151,5.224005699157715
9,tabpfn,48.5269866809845,4071.0030575018573,1.067906379699707
9,missforest,57.862396969696974,5625.054819167197,69.41471529006958
