fold,metodo,mae,mse,tempo_segundos
0,média,13.467254973184332,288.10805599425214,0.00044083595275878906
0,knn,13.607189542483662,318.9933986928105,0.07959461212158203
0,mice,12.388189900883276,256.08848754527884,3.1083455085754395
0,tabpfn,12.143798678529029,249.42398522911347,1.312511682510376
0,missforest,13.414052287581699,302.54232026143796,79.12455797195435
1,média,12.680106550429834,258.73362829161914,0.0004458427429199219
1,knn,13.948366013071897,310.4617647058824,0.07963180541992188
1,mice,11.725777187120707,224.58880385430834,3.0389153957366943
1,tabpfn,11.388373007182203,215.72786037991028,1.2536704540252686
1,missforest,11.749019607843136,233.91941176470587,79.02501964569092
2,média,12.837736135742588,283.34389817620604,0.0004279613494873047
2,knn,13.204901960784314,295.4316666666667,0.07732152938842773
2,mice,12.325300918783364,257.6302692477463,3.074274778366089
2,tabpfn,11.649404762617124,238.74067672710424,1.2719299793243408
2,missforest,12.563725490196079,266.556045751634,78.89034986495972
3,média,11.898952776412658,246.2084306990255,0.0004367828369140625
3,knn,12.283333333333333,262.6713398692811,0.1441650390625
3,mice,11.649245999863993,228.64728976442123,3.0777766704559326
3,tabpfn,11.383760464736838,218.7144543556548,1.2080421447753906
3,missforest,12.105555555555556,245.17114379084967,78.97128248214722
4,média,13.009901260419412,257.5317380328485,0.00044083595275878906
4,knn,13.679738562091503,292.5686928104576,0.07707071304321289
4,mice,23.959010483606516,31515.869077627314,3.3954274654388428
4,tabpfn,11.360773024216197,200.39763640121288,1.2415485382080078
4,missforest,12.006535947712418,229.34333333333333,79.76181530952454
5,média,13.290734528464492,276.20888825621614,0.00044083595275878906
5,knn,13.431372549019608,294.38450980392156,0.07612299919128418
5,mice,11.518526642104634,206.42534088630276,3.334514617919922
5,tabpfn,11.497489779603248,211.67031172398833,1.2752137184143066
5,missforest,12.514705882352942,245.93467320261442,78.69757890701294
6,média,13.500485507194766,295.99223661759765,0.00042748451232910156
6,knn,14.656209150326799,349.82398692810455,0.07643318176269531
6,mice,12.178047574368927,237.1832825857364,3.6808650493621826
6,tabpfn,12.132105484507441,236.40146110199709,1.2391612529754639
6,missforest,13.16797385620915,269.4043137254902,78.43326830863953
7,média,13.060814227616218,283.3709686523531,0.0004372596740722656
7,knn,14.149019607843135,316.2724183006536,0.07655835151672363
7,mice,12.832730966082394,262.18822933021335,3.063258647918701
7,tabpfn,12.28219317766576,251.4806972125949,1.2645893096923828
7,missforest,12.984313725490196,266.5386274509804,78.72572183609009
8,média,13.464882041931679,290.28008751807283,0.0004477500915527344
8,knn,14.325816993464054,342.62578431372555,0.07838010787963867
8,mice,12.524123433929587,256.101095234845,3.101890802383423
8,tabpfn,12.370082979887918,247.45466532751277,1.305959701538086
8,missforest,13.05751633986928,274.5402614379085,78.84377431869507
9,média,13.283985142326513,303.5654151708344,0.0004363059997558594
9,knn,13.850491803278688,340.77652459016394,0.1315631866455078
9,mice,12.602781859406468,275.52221596977887,2.8368914127349854
9,tabpfn,12.238928747958825,265.1707415084536,1.2678675651550293
9,missforest,13.198032786885246,295.8669508196721,78.83141255378723
