fold,metodo,mae,mse,tempo_segundos
0,média,91.22912131539219,12797.60024873994,0.00043892860412597656
0,knn,82.82829105037939,13251.148483337707,0.07129478454589844
0,mice,62.43513825467223,6291.994945508381,2.2231483459472656
0,tabpfn,41.2483322930486,3993.77564158726,1.274320125579834
0,missforest,50.48942437091214,5336.909090395198,78.08782625198364
1,média,98.88883235393517,15515.531038240026,0.0004425048828125
1,knn,89.67644262053194,16332.851440929897,0.0754995346069336
1,mice,58.26493223571159,5493.749748888213,2.2603440284729004
1,tabpfn,35.96263832584937,3054.9524866342013,1.2968449592590332
1,missforest,44.4126375184582,4725.39735497646,77.88473701477051
2,média,92.51400687845073,13023.417736769392,0.00042748451232910156
2,knn,80.71773394541114,13076.384662526358,0.07288050651550293
2,mice,59.81489574324827,6263.320466660936,2.208513021469116
2,tabpfn,36.64112106856778,2909.246666451469,1.2794432640075684
2,missforest,43.83856276911332,4335.028532772743,77.69720935821533
3,média,91.16737546637806,12620.22830690058,0.0004353523254394531
3,knn,86.97068304278518,13872.85938542633,0.0772852897644043
3,mice,61.048310138989244,6012.927267749315,2.2166759967803955
3,tabpfn,43.55565221975927,4038.4248831878945,1.2685744762420654
3,missforest,52.575910016366535,5995.792738411181,78.52467727661133
4,média,92.33507939925902,13810.132630108139,0.0007295608520507812
4,knn,81.76522908267309,13564.972246340665,0.07237863540649414
4,mice,63.837867236812,6887.729875451747,2.2813925743103027
4,tabpfn,41.579450167409284,4055.7933863718968,1.265193223953247
4,missforest,53.56661859449081,6326.648526472156,78.11965346336365
5,média,93.54309257192193,14070.207752290504,0.0004322528839111328
5,knn,84.90248305162288,14539.987567119202,0.07616186141967773
5,mice,64.4668793315407,7587.72935500479,3.3094236850738525
5,tabpfn,40.190110750658874,4082.424126771168,1.2333738803863525
5,missforest,53.80404235903809,7780.748489909865,78.06870865821838
6,média,91.06837723646771,12589.955681684847,0.00044035911560058594
6,knn,81.07011337918063,12658.112972845835,0.07147979736328125
6,mice,60.177435014216975,6257.492534449041,2.2530922889709473
6,tabpfn,37.82155590759583,3859.5382716976223,1.2950444221496582
6,missforest,49.59644557388866,7046.785102370006,78.03997421264648
7,média,116.78812924063537,69493.40135303333,0.0004336833953857422
7,knn,110.72307762071927,70563.20498061166,0.0733480453491211
7,mice,76.44927603095334,59074.634316182826,2.2498769760131836
7,tabpfn,54.73729035162714,56405.25015266627,1.3082056045532227
7,missforest,63.87654669698704,57614.19132024875,77.83882164955139
8,média,90.83950605123398,12566.635041954494,0.0004322528839111328
8,knn,80.91777901827372,12752.937539871877,0.07224392890930176
8,mice,67.18487711174774,14355.846233690954,2.228281021118164
8,tabpfn,40.07308759532382,4000.5045745604566,1.3142554759979248
8,missforest,49.690116229909115,6807.513187906524,77.97362947463989
9,média,94.5356290812839,14156.17062685137,0.0004291534423828125
9,knn,85.82018864151524,14684.059642869948,0.08196258544921875
9,mice,74.75110154043482,31284.61700402348,2.231189489364624
9,tabpfn,41.54230486872685,4573.759778405769,1.325171709060669
9,missforest,49.137699435308875,5811.784481063989,78.33365035057068
